Owner,Sahibi,
Parent,Üst Grup,
Paid,Ödendi,
Priority,Öncelik,
Partially Paid,Kısmi Ödendi,
Pending,Bekliyor,
Processing,İşleniyor,
Provider,Sağlayıcı,
Queued,Sıraya alındı,
Rejected,Reddedildi,
Replied,Yanıtlandı,
Recipient,Alıcı,
Reference DocType,Referans DocType,
Reference Name,Referans Adı,
Reload,Yeniden Yükle,
Review,Gözden Geçir,
Revoked,İptal Edildi,
Snoozed,Ertelendi,
SMS,SMS,
Scheduled,Planlandı,
Sent,Gönderildi,
Session Defaults,Oturum Varsayılanları,
Shared,Paylaşıldı,
Sub-Account,Alt Hesap,
Start Date,Başlangıç Tarihi,
Submitted,Sunuldu,
Synced,Senkronize,
Status,Durum,
Subject,Konu,
System Manager,Sistem Yöneticisi,
Stale,Bekliyor,
Toggle Full Width,Geniş Görünüm,
Unknown,Bilinmiyor,
Under Review,İnceleniyor,
User,Kullanıcı,
Waiting,Bekliyor,
View Website,Websitesine Git,
Viewed By,Görüntüleyen,
Visit,Ziyaret Et,
WhatsApp,WhatsApp,
Menu,Menü,
Insurance CRM,Sigorta CRM,
Lead, policy, claim, and collections operations,Fırsat, poliçe, hasar ve tahsilat operasyonları,
Overview,Genel Görünüm,
Sales & Portfolio,Satış ve Portföy,
Operations,Operasyonlar,
Communication & Follow-up,İletişim ve Takip,
Master Data,Ana Veriler,
Finance & Control,Finans ve Kontrol,
Dashboard,Pano,
Leads,Fırsatlar,
Offers,Teklifler,
Policies,Poliçeler,
Customers,Müşteriler,
Customer must be selected.,Müşteri seçilmelidir.,
Search Customers,Müşteri Ara,
Claims,Hasarlar,
Payments,Ödemeler,
Renewals,Yenilemeler,
Renewal date must be entered.,Yenileme tarihi girilmelidir.,
Reconciliation,Mutabakat,
Communication Center,İletişim Merkezi,
Reports,Raporlar,
Create Offer,Teklif Oluştur,
Complete the customer section.,Müşteri alanını tamamlayın.,
New customer name is required.,Yeni müşteri adı gerekli.,
Select a customer or add a new customer.,Bir müşteri seçin veya yeni müşteri ekleyin.,
At least one first or last name must be entered.,En az bir ad veya soyad girilmelidir.,
Conversion failed.,Dönüşüm başarısız oldu.,
Endorsement could not be applied.,Zeyil uygulanamadı.,
Endorsement result could not be loaded.,Zeyil sonucu alınamadı.,
Endorsement type must be selected.,Zeyil türü seçilmelidir.,
Full name (full_name) must be entered.,Tam ad (full_name) girilmelidir.,
Insurance company must be selected.,Sigorta şirketi seçilmelidir.,
Navigate,Gezinme,
Open Customer 360,Müşteri 360'ı Aç,
Open Customer,Müşteriyi Aç,
Open Policy,Poliçeyi Aç,
Open Renewals Board,Yenilemeler Panosunu Aç,
Open Renewals Dashboard,Yenilemeler Kontrol Panelini Aç,
Policy must be selected.,Poliçe seçilmelidir.,
Related,İlgili,
Policy conversion failed.,Poliçe dönüşümü başarısız oldu.,
Policy could not be created.,Poliçe oluşturulamadı.,
Server error occurred.,Sunucu hatası oluştu.,
Tax ID,Vergi No,
National ID No,TC Kimlik No,
Break-Glass Request,Acil Erişim Talebi,
Break-Glass Approvals,Acil Erişim Onayları,
Data Import,Veri İçe Aktarma,
Data Export,Veri Dışa Aktarma,
Tasks,Görevler,
Notification Drafts,Bildirim Taslakları,
Sent Notifications,Gönderilen Bildirimler,
Insurance Companies,Sigorta Şirketleri,
Branches,Branşlar,
Sales Entities,Satış Birimleri,
Notification Templates,Bildirim Şablonları,
Accounting Entries,Muhasebe Kayıtları,
Reconciliation Items,Mutabakat Kalemleri,
Collapse Sidebar,Kenar Menüsünü Daralt,
Expand Sidebar,Kenar Menüsünü Genişlet,
Collapse,Daralt,
Expand,Genişlet,
My Account,Hesabım,
Open Desk,Yönetim Ekranını Aç,
Open Communication Center,İletişim Merkezini Aç,
Scope,Kapsam,
All Branches,Tüm Şubeler,
Logout,Çıkış Yap,
Accounting Entry,Muhasebe Kaydı,
Adjusted,Düzeltildi,
Amount,Tutar,
AT Accounting Entry,Muhasebe Kaydı,
AT Claim,Hasar,
AT Customer,Müşteri,
AT Payment,Ödeme,
AT Policy,Poliçe,
Attempt Count,Deneme Sayısı,
Branch Code,Branş Kodu,
Claim,Hasar,
Company Code,Şirket Kodu,
Customer,Müşteri,
Customer Name,Müşteri Adı,
Customer No,Müşteri No,
Customer Search / New Customer,Müşteri Ara / Yeni Müşteri,
Search by customer name, company name, or tax ID...,Müşteri adı, şirket adı veya vergi numarası ile arayın...,
No customer found. You can add a new customer from the same search bar.,Müşteri bulunamadı. Aynı arama çubuğundan yeni müşteri ekleyebilirsiniz.,
Customer information is inherited automatically when a source offer is selected.,Kaynak teklif seçildiğinde müşteri bilgileri otomatik devralınır.,
Difference (TRY),Fark (TRY),
en,İngilizce,
Entry Type,Kayıt Türü,
Error Message,Hata Mesajı,
Event Key,Olay Anahtarı,
External Amount,Harici Tutar,
External Amount (TRY),Harici Tutar (TRY),
External Reference,Harici Referans,
Ignored,Yoksayıldı,
Insurance Company,Sigorta Şirketi,
Last Synced,Son Senkron,
Local Amount,Yerel Tutar,
Local Amount (TRY),Yerel Tutar (TRY),
Manual Override,Manuel Geçersiz Kılma,
Mismatch Type,Uyumsuzluk Tipi,
Missing External,Harici Kayıt Eksik,
Missing Local,Yerel Kayıt Eksik,
Modified,Güncellendi,
Needs Reconciliation,Mutabakat Gerekli,
Next Retry,Sonraki Deneme,
Notes,Notlar,
Parent Entity,Üst Birim,
Payload (JSON),Payload (JSON),
Payment,Ödeme,
Policy,Poliçe,
Raw JSON,Ham JSON,
Reference Record,Referans Kayıt,
Representative,Temsilci,
Resolution Action,Çözüm İşlemi,
Resolved,Çözüldü,
Resolved By,Çözen Kullanıcı,
Resolved On,Çözüm Tarihi,
Source DocType,Kaynak Tipi,
Source Record,Kaynak Kaydı,
Sync Attempts,Senkron Denemesi,
tr,Türkçe,
Unique Key,Benzersiz Anahtar,
records,kayıt,
Filters,Filtreler,
Refresh,Yenile,
Advanced Filters,Gelişmiş Filtreler,
Hide Advanced,Gelişmiş Filtreleri Gizle,
active filters,aktif filtre,
Filter Preset,Filtre Şablonu,
Standard,Standart,
Apply,Uygula,
Reset,Temizle,
Save,Kaydet,
Save & Open,Kaydet ve Aç,
Please fill required fields.,Lütfen gerekli alanları doldurun.,
Create failed.,Kayıt oluşturma başarısız oldu.,
Preset name,Şablon adı,
Delete this custom preset?,Bu özel şablon silinsin mi?,
Search records...,Kayıtlarda ara...,
Loading records...,Kayıtlar yükleniyor...,
Failed to Load,Kayıtlar Yüklenemedi,
No records found,Kayıt bulunamadı,
Adjust filters and try again.,Filtreleri güncelleyip tekrar deneyin.,
Showing,Gösterilen,
Record,Kayıt,
Details,Detaylar,
Info,Bilgiler,
Actions,Aksiyon,
Export CSV,CSV Dışa Aktar,
Excel,Excel,
PDF,PDF,
Total Snapshots,Toplam Snapshot,
High Risk,Yüksek Risk,
High Value,Yüksek Değer,
Average Score,Ortalama Skor,
Total Audit Events,Toplam Kayıt,
Total Reminders,Toplam Hatırlatıcı,
High Priority,Yüksek Öncelik,
Run,Çalıştırma,
Total Files,Toplam Dosya,
Images,Görseller,
Spreadsheets,E-Tablolar,
Customer Attached,Müşteri Ekleri,
Policy Attached,Poliçe Ekleri,
Claim Attached,Hasar Ekleri,
Snapshot Trend,Snapshot Eğilimi,
Summarizes the latest three snapshot days from visible records,Görünen kayıtlardaki son üç snapshot gününü özetler,
Records in the current filtered window,Geçerli filtre penceresindeki kayıtlar,
Records where claim risk is High,Hasar riski yüksek kayıtlar,
Records with High or Premium value band,Yüksek veya premium değer bandındaki kayıtlar,
Average score for filtered records,Filtrelenen kayıtların ortalama skoru,
Audit events in the current filtered window,Geçerli filtre penceresindeki audit kayıtları,
Reminders in the current filtered window,Geçerli filtre penceresindeki hatırlatıcılar,
Reminders with Open status,Açık durumundaki hatırlatıcılar,
Open reminders whose remind time has passed,Hatırlatma zamanı geçmiş açık kayıtlar,
Open reminders with High priority,Yüksek öncelikli açık hatırlatıcılar,
Create actions,Oluşturma aksiyonları,
Edit actions,Düzenleme aksiyonları,
Delete actions,Silme aksiyonları,
Run actions,Çalıştırma aksiyonları,
Files in the current filtered window,Geçerli filtre penceresindeki dosyalar,
Documents in PDF format,PDF biçimindeki belgeler,
Image files,Görsel dosyalar,
Spreadsheet documents,E-tablo belgeleri,
Files attached to AT Customer records,AT Customer kayıtlarına ekli dosyalar,
Files attached to AT Policy records,AT Policy kayıtlarına ekli dosyalar,
Files attached to AT Claim records,AT Claim kayıtlarına ekli dosyalar,
New Record,Yeni Kayıt,
Open Record Details,Kayıt Detayını Aç,
Panel,Panel,
Send Now,Hemen Gönder,
Retry,Tekrar Dene,
Requeue,Kuyruğa Al,
Start,Takibe Al,
Block,Bloke Et,
Mark Done,Tamamla,
Cancel,İptal,
Running...,Çalışıyor...,
Page,Sayfa,
Previous,Önceki,
Next,Sonraki,
All,Tümü,
Ascending,Artan,
Descending,Azalan,
Strengths,Güçlü,
Risks,Risk,
Yes,Evet,
No,Hayır,
Control Center,Kontrol Merkezi,
Control Center / Reports,Kontrol Merkezi / Raporlar,
Branch-aware BI and export hub,Şube duyarlı raporlama ve dışa aktarma merkezi,
Filter,Filtrele,
List Summary,Liste Özeti,
records shown,kayıt gösteriliyor,
Hide Advanced Filters,Gelişmiş Filtreleri Gizle,
Report Preset,Rapor Şablonu,
Clear,Temizle,
Insurance branch,Sigorta branşı,
Insurance company,Sigorta şirketi,
Carrier Policy Number,Sigorta Şirketi Poliçe No,
Tax ID,TC/VKN,
Sales entity,Satış birimi,
Loading report...,Rapor yükleniyor...,
Failed to Load Report,Rapor Yüklenemedi,
No report rows matched the selected filters.,Seçili filtrelerle rapor verisi bulunamadı.,
Total Rows,Toplam Satır,
Office Branch,Ofis Şube,
Failed to export report.,Rapor dışa aktarma başarısız oldu.,
Exporting...,Dışa aktarılıyor...,
Rows,Kayıt Sayısı,
Collected,Tahsil Edilen,
Active Policies,Aktif Poliçe,
Avg Offer Conversion,Ort. Teklif Dönüşümü,
Open Renewal Load,Açık Yenileme Yükü,
Loyal Customers,Sadık Müşteri,
Customers With Claims,Hasarlı Müşteri,
Matched Customers,Eşleşen Müşteri,
Created Drafts,Üretilen Taslak,
Successful Deliveries,Başarılı Gönderim,
Open Reconciliation,Açık Mutabakat,
Difference Amount,Fark Tutarı,
Resolved Items,Çözülen Kalem,
Open Claims,Açık Hasar,
Rejected Claims,Reddedilen Hasar,
Successful Notifications,Başarılı Bildirim,
Period Comparison,Dönem Kıyaslaması,
Selected range is compared with the previous equal period,Seçili aralık, önceki eşit periyot ile karşılaştırılır.,
Columns,Kolonlar,
Selected columns define the table, hidden columns can be restored with one tap.,Seçili kolonlar tabloyu kurar, gizli kolonlar tek dokunuşla açılır.,
Selected Columns,Seçili Kolonlar,
Hidden Columns,Gizli Kolonlar,
Hidden columns can be restored with a single tap.,Gizli kolonlar tek dokunuşla tekrar görünür yapılabilir.,
Show All,Tümünü Göster,
Failed to save report view.,Rapor görünümü kaydedilemedi.,
Failed to save scheduled report.,Zamanlanmış rapor kaydedilemedi.,
Failed to delete scheduled report.,Zamanlanmış rapor silinemedi.,
Scheduled Reports,Zamanlanmış Raporlar,
Report deliveries defined in site config,Site konfigürasyonu ile tanımlı rapor teslimleri,
Run Scheduled Reports,Zamanlanmış Raporları Çalıştır,
No scheduled reports configured.,Tanımlı zamanlanmış rapor yok.,
Recipients,Alıcılar,
Frequency,Frekans,
Format,Format,
Limit,Limit,
Enabled,Etkin,
Disabled,Pasif,
Failed to trigger scheduled reports.,Zamanlanmış raporlar tetiklenemedi.,
Failed to load scheduled reports.,Zamanlanmış raporlar yüklenemedi.,
Segment Snapshots,Segment Snapshot'ları,
Refreshes customer segment scores in batch,Müşteri segment skorlarını toplu olarak yeniler,
Run Snapshots,Snapshot'ları Çalıştır,
Snapshots Running...,Snapshot'lar Çalışıyor...,
Failed to trigger segment snapshot job.,Segment snapshot işi tetiklenemedi.,
Report Granularity,Rapor Granülaritesi,
Daily,Günlük,
Monthly,Aylık,
Yearly,Yıllık,
-- Select granularity --,-- Granülariteyi seçin --,
Select Date Range,Tarih Aralığı Seçin,
Today,Bugün,
This Month,Bu Ay,
This Year,Bu Yıl,
Yesterday,Dün,
Last Month,Geçen Ay,
Last Year,Geçen Yıl,
Lead List,Fırsat Listesi,
Customer List,Müşteri Listesi,
Policy List,Poliçe Listesi,
Offer List,Teklif Listesi,
Record Number,Kayıt No,
Policy List Report,Poliçe Listesi Raporu,
Payment Status Report,Ödeme Durumu Raporu,
Renewal Performance Report,Yenileme Performans Raporu,
Claim Loss Ratio Report,Hasar Kayıp Oranı Raporu,
Agency Performance Scorecard,Acente Performans Karnesi,
Customer Segmentation Report,Müşteri Segmentasyon Raporu,
Communication Operations Report,İletişim Operasyonları Raporu,
Reconciliation Operations Report,Mutabakat Operasyonları Raporu,
Claims Operations Report,Hasar Operasyonları Raporu,
Report,Rapor,
Filters:,Filtreler:,
Total rows:,Toplam satır:,
Unsupported export screen,Desteklenmeyen dışa aktarma ekranı,
Lead,Fırsat,
Offer,Teklif,
Gross Premium,Brüt Prim,
Net Premium,Net Prim,
Offer Date,Teklif Tarihi,
Valid Until,Geçerlilik Tarihi,
Commission,Komisyon,
"Asset label is required","Varlık etiketi gereklidir",
"Assigned user is required","Atanan kullanıcı gereklidir",
"Assigned user not found.","Atanan kullanıcı bulunamadı.",
"Assignment must be linked to a source, customer or policy","Atama, bir kaynağa, müşteriye veya poliçeye bağlanmalıdır",
"At least one permission doctype is required for tabular export.","Tablo dışa aktarımı için en az bir izin doktip gereklidir.",
"At least one scheduled report recipient is required.","Planlanmış rapor için en az bir alıcı gereklidir.",
"Authentication required","Kimlik doğrulaması gereklidir",
"Claim not found.","İddia bulunamadı.",
"Customer and related customer must be different","Müşteri ve ilgili müşteri farklı olmalıdır",
"Customer is required","Müşteri gereklidir",
"Customer not found.","Müşteri bulunamadı.",
"Full Name is required","Tam Ad gereklidir",
"Invalid consent status value","Geçersiz rıza durumu değeri",
"Invalid gender value","Geçersiz cinsiyet değeri",
"Invalid marital status value","Geçersiz medeni durumu değeri",
"Invalid preset screen","Geçersiz ön ayar ekranı",
"Invalid scheduled report delivery channel.","Geçersiz planlanmış rapor teslimat kanalı.",
"Invalid scheduled report frequency.","Geçersiz planlanmış rapor sıklığı.",
"Invalid scheduled report key.","Geçersiz planlanmış rapor anahtarı.",
"Lead is required","Aday gereklidir",
"Linked source record was not found","Bağlantılı kaynak kaydı bulunamadı",
"Not permitted","İzin verilmiyor",
"Offer is required","Teklif gereklidir",
"Policy is required","Poliçe gereklidir",
"Policy not found.","Poliçe bulunamadı.",
"Related customer is required","İlgili müşteri gereklidir",
"Reminder time must be on or before due date","Hatırlatma zamanı vadesi gelen tarihte veya öncesinde olmalıdır",
"Report key is required","Rapor anahtarı gereklidir",
"Scope hash is required","Kapsam hash'i gereklidir",
"Snapshot date is required","Anlık görüntü tarihi gereklidir",
"Source doctype is required when source name is set","Kaynak adı ayarlandığında kaynak doktip gereklidir",
"Source name is required when source doctype is set","Kaynak doktip ayarlandığında kaynak adı gereklidir",
"Source record not found.","Kaynak kaydı bulunamadı.",
"Task must be linked to a source, customer, policy or claim","Görev, bir kaynağa, müşteriye, poliçeye veya iddiaaya bağlanmalıdır",
"Task title is required","Görev başlığı gereklidir",
"Valid asset type is required","Geçerli varlık türü gereklidir",
"Valid assignment role is required","Geçerli atama rolü gereklidir",
"Valid assignment status is required","Geçerli atama durumu gereklidir",
"Valid priority is required","Geçerli öncelik gereklidir",
"Valid relation type is required","Geçerli ilişki türü gereklidir",
"Valid source doctype is required","Geçerli kaynak doktip gereklidir",
"Valid task status is required","Geçerli görev durumu gereklidir",
"Valid task type is required","Geçerli görev türü gereklidir",
"You are not allowed to access the selected office branch.","Seçilen şube ofisine erişiminiz yoktur.",
